Year of arrival at port of disembarkation,Total embarked,Total disembarked,Total died
1650,3275,2742,533
1651,5124,4156,968
1652,4716,3692,1024
1653,3037,2444,593
1654,5488,4117,1371
1655,4270,3421,849
1656,5874,4662,1212
1657,4596,3050,1546
1658,7550,5567,1983
1659,8184,6106,2078
1660,5549,4577,972
1661,5057,4087,970
1662,5637,4538,1099
1663,6925,5365,1560
1664,15122,11919,3203
1665,10922,8534,2388
1666,6965,5333,1632
1667,7037,5744,1293
1668,8805,7087,1718
1669,11780,9553,2227
1670,8324,6746,1578
1671,12236,10028,2208
1672,8708,7043,1665
1673,6246,4715,1531
1674,9310,7592,1718
1675,9607,7697,1910
1676,11697,9808,1889
1677,11408,9048,2360
1678,14061,11385,2676
1679,17038,13380,3658
1680,18741,15213,3528
1681,23562,18441,5121
1682,18467,14767,3700
1683,20997,16247,4750
1684,17637,14288,3349
1685,18369,14953,3416
1686,19121,14995,4126
1687,21556,17875,3681
1688,18051,15073,2978
1689,13068,10883,2185
1690,8974,7339,1635
1691,14953,12859,2094
1692,15440,12883,2557
1693,16568,13498,3070
1694,14592,12115,2477
1695,14342,12215,2127
1696,15085,12699,2386
1697,20017,16928,3089
1698,34036,28553,5483
1699,38548,31189,7359
1700,44281,36184,8097
1701,47418,39738,7680
1702,35241,29513,5728
1703,22340,18638,3702
1704,23923,20074,3849
1705,28055,21959,6096
1706,20906,18084,2822
1707,22397,19087,3310
1708,28632,23914,4718
1709,19929,16900,3029
1710,27685,23550,4135
1711,27886,23553,4333
1712,27227,23364,3863
1713,31137,26475,4662
1714,39028,32698,6330
1715,42328,35666,6662
1716,41662,34649,7013
1717,41287,35000,6287
1718,41578,35037,6541
1719,43304,36608,6696
1720,37307,32052,5255
1721,35751,30702,5049
1722,40920,34836,6084
1723,39587,34234,5353
1724,58892,51235,7657
1725,57879,50454,7425
1726,61651,53018,8633
1727,56445,48541,7904
1728,53748,45524,8224
1729,59739,50537,9202
1730,53635,46221,7414
