Year of arrival at port of disembarkation,Total embarked,Total disembarked,Total died
1650,325,259,66
1650,330,264,66
1650,244,209,35
1650,244,209,35
1650,406,356,50
1650,181,155,26
1650,338,291,47
1650,244,209,35
1650,244,209,35
1650,244,209,35
1650,325,259,66
1650,150,113,37
1651,1280,1100,180
1651,200,170,30
1651,181,155,26
1651,700,618,82
1651,330,264,66
1651,492,385,107
1651,347,281,66
1651,650,574,76
1651,700,400,300
1651,244,209,35
1652,325,259,66
1652,351,258,93
1652,273,191,82
1652,179,158,21
1652,273,191,82
1652,170,138,32
1652,338,291,47
1652,216,153,63
1652,346,259,87
1652,145,109,36
1652,145,109,36
1652,207,125,82
1652,325,259,66
1652,179,158,21
1652,347,281,66
1652,244,209,35
1652,325,259,66
1652,328,285,43
1653,334,234,100
1653,273,191,82
1653,273,191,82
1653,381,331,50
1653,325,259,66
1653,380,352,28
1653,406,356,50
1653,325,259,66
1653,340,271,69
1654,338,291,47
1654,212,182,30
1654,328,285,43
1654,259,207,52
1654,325,259,66
1654,325,259,66
1654,60,20,40
1654,378,56,322
1654,325,259,66
1654,325,259,66
1654,325,259,66
1654,325,259,66
1654,314,242,72
1654,314,242,72
1654,145,109,36
1654,145,109,36
1654,150,129,21
1654,145,109,36
1654,145,109,36
1654,145,109,36
1654,145,109,36
1654,170,146,24
1654,145,109,36
1655,145,109,36
1655,145,109,36
1655,145,109,36
1655,145,109,36
1655,145,109,36
1655,145,109,36
1655,330,264,66
1655,325,259,66
1655,328,285,43
1655,347,281,66
1655,455,391,64
1655,320,244,76
1655,253,250,3
1655,86,70,16
1655,145,109,36
1655,145,109,36
1655,145,109,36
1655,86,69,17
1655,145,109,36
1655,145,109,36
1655,145,109,36
1656,17,14,3
1656,192,121,71
1656,450,380,70
1656,23,18,5
1656,20,16,4
1656,325,259,66
1656,251,174,77
1656,325,259,66
1656,325,259,66
1656,325,259,66
1656,239,192,47
1656,104,87,17
1656,325,259,66
1656,330,264,66
1656,141,121,20
1656,94,80,14
1656,705,563,142
1656,163,140,23
1656,54,47,7
1656,600,479,121
1656,216,153,63
1656,325,259,66
1656,325,259,66
1657,273,191,82
1657,680,225,455
1657,325,259,66
1657,267,213,54
1657,330,264,66
1657,251,174,77
1657,259,207,52
1657,697,290,407
1657,80,56,24
1657,259,207,52
1657,338,291,47
1657,347,281,66
1657,330,264,66
1657,160,128,32
1658,145,109,36
1658,259,207,52
1658,338,291,47
1658,145,109,36
1658,145,109,36
1658,337,253,84
1658,288,216,72
1658,1601,1200,401
1658,325,259,66
1658,330,264,66
1658,500,174,326
