Year of arrival at port of disembarkation,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Total died
1652,338,291,32.93,43.71,24.71,47
1657,680,225,23.63,14.29,62.5,455
1658,262,228,49.4,50.6,4.96,34
1659,195,85,27.5,72.5,5.88,110
1659,557,300,53.33,46.67,0.0,257
1660,338,291,82.22,15.56,2.22,47
1661,338,291,58.49,32.07,9.43,47
1663,373,150,35.33,64.67,0.0,223
1663,180,125,33.6,48.8,17.6,55
1663,259,197,54.32,34.52,11.17,62
1663,229,159,39.62,47.8,12.58,70
1663,224,175,46.86,41.71,11.43,49
1664,242,168,26.09,65.22,8.7,74
1664,267,185,22.7,64.32,12.97,82
1664,302,282,54.96,37.23,7.8,20
1664,346,272,51.35,33.98,14.67,74
1664,112,90,50.0,26.67,23.33,22
1664,421,348,53.33,46.67,0.0,73
1664,400,307,54.72,42.34,2.93,93
1664,245,170,42.01,53.25,4.73,75
1664,398,276,42.75,51.45,5.8,122
1664,256,178,51.12,37.64,11.24,78
1664,209,145,57.25,42.75,0.0,64
1664,294,230,53.48,36.09,10.44,64
1664,280,194,42.27,57.73,0.0,86
1664,478,363,55.37,37.47,7.16,115
1664,278,193,25.91,58.55,15.54,85
1664,330,330,53.94,38.18,7.88,0
1665,341,237,37.97,51.48,10.55,104
1665,300,243,61.0,37.0,2.0,57
1665,268,186,29.46,38.39,32.14,82
1665,195,152,49.64,40.88,9.49,43
1665,275,215,57.67,36.28,6.05,60
1665,666,462,17.53,31.82,50.65,204
1665,251,174,32.26,41.13,26.61,77
1665,278,211,35.54,58.29,6.16,67
1665,474,329,54.71,33.74,11.55,145
1665,259,244,43.03,50.41,6.56,15
1666,576,400,44.75,52.0,3.25,176
1666,147,102,32.35,42.16,25.49,45
1666,215,149,57.05,38.93,4.03,66
1668,259,207,85.86,12.12,2.02,52
1668,280,219,89.0,5.0,6.0,61
1672,935,664,52.54,24.5,22.96,271
1673,275,220,70.91,24.54,4.54,55
1674,327,262,60.69,35.5,3.82,65
1674,531,415,58.17,41.83,2.65,116
1674,342,322,65.22,28.88,5.9,20
1674,399,277,40.3,47.91,11.79,122
1674,291,202,48.96,41.15,9.9,89
1674,215,204,54.19,30.05,15.76,11
1674,377,280,62.14,26.07,11.79,97
1675,333,231,37.23,54.54,8.22,102
1675,462,351,71.51,26.21,2.28,111
1675,521,417,51.8,41.73,6.47,104
1675,407,318,58.97,39.42,1.6,89
