Year of arrival at port of disembarkation,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Number of Women,Number of Men,Number of Children,Total calc num,Total died
1665,300,243,61.0,37.0,2.0,111,183,6,300,57
1684,320,256,48.44,40.62,10.94,130,155,35,320,64
1689,500,500,46.4,35.2,18.4,176,232,92,500,0
1698,151,151,62.91,33.11,3.97,50,95,6,151,0
1703,228,208,20.98,45.37,34.62,103,47,78,228,20
1703,542,502,58.67,22.32,19.0,121,318,103,542,40
1704,160,143,38.75,37.5,23.75,60,62,38,160,17
1706,547,394,56.67,32.18,11.15,176,310,61,547,153
1707,558,439,67.38,32.08,0.54,179,376,3,558,119
1713,150,124,42.0,48.0,10.0,72,63,15,150,26
1714,280,261,56.79,32.5,10.71,91,159,30,280,19
1714,200,184,68.5,25.5,6.0,51,137,12,200,16
1714,43,43,68.29,31.71,4.65,13,29,1,43,0
1716,200,50,48.0,32.0,20.0,64,96,40,200,150
1716,257,242,69.26,24.9,5.84,64,178,15,257,15
1719,79,72,81.01,17.72,1.27,14,64,1,79,7
1720,80,74,86.25,8.75,5.0,7,69,4,80,6
1721,350,342,80.0,14.0,6.0,49,280,21,350,8
1722,400,350,71.0,17.0,12.0,68,284,48,400,50
1723,400,316,49.75,25.0,25.25,100,199,101,400,84
1723,105,90,60.0,40.0,0.0,42,63,0,105,15
1725,100,99,50.0,19.0,31.0,19,50,31,100,1
1726,50,44,84.0,8.0,8.0,4,42,4,50,6
1726,40,35,85.0,7.5,7.5,3,34,3,40,5
1727,152,125,100.0,0.0,0.0,0,152,0,152,27
1728,400,356,87.5,10.0,2.5,40,350,10,400,44
