Year of arrival at port of disembarkation,Total embarked,Total disembarked
1787,343,314
1786,295,270
1799,437,400
1801,270,243
1802,275,247
1803,310,279
1804,336,302
1805,319,287
1806,423,380
1801,85,76
1802,340,280
1803,290,261
1799,262,240
1801,187,168
1802,310,279
1803,310,279
1804,172,170
1786,168,155
1787,180,180
1789,119,110
1790,200,170
1788,65,60
1789,72,67
1790,113,105
1791,67,62
1792,113,105
1805,270,243
1806,,
1801,433,389
1803,310,279
1803,439,395
1799,270,247
1801,273,
1800,600,550
1803,310,279
1804,307,276
1805,307,276
1806,311,280
1807,310,279
1787,328,300
1789,265,243
1791,250,229
1792,271,241
1793,271,271
1794,,
1793,359,328
1795,250,242
1796,252,231
1797,229,218
1798,,
1795,310,266
1783,359,328
1784,550,504
1786,450,412
1799,459,420
1794,,
1799,,
1786,210,195
1796,113,105
1807,540,403
1805,102,89
1805,,
1806,378,340
1800,408,374
1801,310,279
1802,239,215
1803,217,195
1800,416,380
1801,330,4
1803,188,173
1804,182,168
1806,185,171
1807,191,176
1803,310,279
1784,210,195
1807,135,118
1798,404,388
1799,,
1798,590,540
1800,430,394
1801,310,279
1802,432,388
1787,274,251
1789,186,170
1791,253,240
1792,263,242
1793,276,273
1786,,
1792,164,152
1793,189,175
1798,207,192
1786,677,618
1787,568,520
1789,328,300
1790,485,444
1791,471,418
1794,476,436
1797,359,328
1798,480,441
1799,503,461
1799,317,
1796,449,328
1798,359,328
1798,684,627
1800,473,433
1803,439,395
1807,350,315
1788,119,100
1788,77,64
1799,,
1797,444,444
1798,,
1790,123,113
1785,329,301
1787,282,264
1789,264,242
1791,158,145
1792,244,241
1793,243,223
1794,263,241
1785,580,515
1788,530,418
1793,466,359
1795,528,480
1796,500,497
1798,498,467
1799,527,483
1801,365,328
1802,362,325
1803,364,327
1804,370,333
1805,420,378
1804,318,286
1805,234,210
1806,311,280
1808,259,233
1787,108,90
1805,240,216
1807,303,250
1800,195,181
1802,194,178
1802,141,127
1793,191,149
1801,310,279
1802,214,192
1803,185,166
1804,211,190
1801,310,279
1784,404,370
1786,301,276
1787,295,270
1791,308,228
1793,342,284
1794,,
1781,214,197
1781,,
1802,137,119
1805,317,285
1797,165,153
1788,341,312
1781,290,266
1782,349,320
1788,290,289
1802,315,283
1803,135,124
1804,225,206
1805,,
1800,394,361
1781,210,195
1802,245,220
1794,,
1796,35,35
1806,86,72
1807,310,279
1797,423,328
1799,355,
1785,344,315
1782,356,326
