Year of arrival at port of disembarkation,Total embarked,Total disembarked,Percent children,Number of Children,Total died
1650,3275,2742,296.52,805,533
1651,5124,4156,247.10000000000002,1260,968
1652,4716,3692,476.62,1245,1024
1653,3037,2444,293.21,986,593
1654,5488,4117,894.22,2089,1371
1655,4270,3421,998.34,2012,849
1656,5874,4662,1296.96,3332,1212
1657,4596,3050,738.21,2462,1546
1658,7550,5567,470.7,1595,1983
1659,8184,6106,60.53,188,2078
1660,5549,4577,31.560000000000002,86,972
1661,5057,4087,157.55,365,970
1662,5637,4538,97.48,251,1099
1663,6925,5365,180.51,435,1560
1664,15122,11919,406.92,1126,3203
1665,10922,8534,467.2,1646,2388
1666,6965,5333,289.71,809,1632
1667,7037,5744,66.57,237,1293
1668,8805,7087,124.75,323,1718
1669,11780,9553,334.65,1172,2227
1670,8324,6746,367.5,1210,1578
1671,12236,10028,783.4,2358,2208
1672,8708,7043,391.2,1604,1665
1673,6246,4715,112.91,527,1531
1674,9310,7592,239.37,777,1718
1675,9607,7697,202.04999999999998,492,1910
1676,11697,9808,220.58,710,1889
1677,11408,9048,295.2,870,2360
1678,14061,11385,466.84999999999997,1564,2676
1679,17038,13380,564.6,1546,3658
1680,18741,15213,700.3100000000001,2466,3528
1681,23562,18441,1021.55,3085,5121
1682,18467,14767,531.78,1812,3700
1683,20997,16247,1143.02,3179,4750
1684,17637,14288,1124.45,3562,3349
1685,18369,14953,679.39,2189,3416
1686,19121,14995,929.83,2784,4126
1687,21556,17875,455.88,1487,3681
1688,18051,15073,666.07,2270,2978
1689,13068,10883,299.01,1041,2185
1690,8974,7339,245.42,806,1635
1691,14953,12859,382.62,1185,2094
1692,15440,12883,402.28,1462,2557
1693,16568,13498,401.97,1479,3070
1694,14592,12115,465.86,1664,2477
1695,14342,12215,300.78000000000003,957,2127
1696,15085,12699,249.15,659,2386
1697,20017,16928,1408.47,3669,3089
1698,34036,28553,1732.7,4591,5483
1699,38548,31189,702.36,2029,7359
1700,44281,36184,1947.8600000000001,5297,8097
1701,47418,39738,3660.21,8780,7680
1702,35241,29513,2880.41,7110,5728
1703,22340,18638,1173.92,3103,3702
1704,23923,20074,1459.57,3990,3849
1705,28055,21959,1649.71,4856,6096
1706,20906,18084,1356.57,3819,2822
1707,22397,19087,1271.95,3156,3310
1708,28632,23914,1153.69,3202,4718
1709,19929,16900,889.45,2219,3029
1710,27685,23550,2165.88,5610,4135
1711,27886,23553,1435.7,3981,4333
1712,27227,23364,808.67,2079,3863
1713,31137,26475,1305.12,3383,4662
1714,39028,32698,2448.29,6574,6330
1715,42328,35666,3027.32,7555,6662
1716,41662,34649,2650.98,7561,7013
1717,41287,35000,4433.98,11531,6287
1718,41578,35037,3905.34,9645,6541
1719,43304,36608,2899.94,7262,6696
1720,37307,32052,3192.69,8718,5255
1721,35751,30702,2284.84,6412,5049
1722,40920,34836,3628.7,9369,6084
1723,39587,34234,3103.45,8611,5353
1724,58892,51235,2225.29,6423,7657
1725,57879,50454,4178.59,11880,7425
1726,61651,53018,1554.88,4450,8633
1727,56445,48541,2421.7400000000002,7584,7904
1728,53748,45524,2007.83,5911,8224
1729,59739,50537,6408.07,20119,9202
1730,53635,46221,3306.94,10012,7414
