Year of arrival at port of disembarkation,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Number of Women,Number of Men,Number of Children,Total calc num,Total died
1659,557,300,53.33,46.67,0.0,259,297,0,556,257
1660,338,291,82.22,15.56,2.22,52,277,7,336,47
1661,338,291,58.49,32.07,9.43,108,197,31,336,47
1663,373,150,35.33,64.67,0.0,241,131,0,372,223
1663,180,125,33.6,48.8,17.6,87,60,31,178,55
1663,259,197,54.32,34.52,11.17,89,140,28,257,62
1663,229,159,39.62,47.8,12.58,109,90,28,227,70
1663,224,175,46.86,41.71,11.43,93,104,25,222,49
1664,242,168,26.09,65.22,8.7,157,63,21,241,74
1664,267,185,22.7,64.32,12.97,171,60,34,265,82
1664,302,282,54.96,37.23,7.8,112,165,23,300,20
1664,346,272,51.35,33.98,14.67,117,177,50,344,74
1664,112,90,50.0,26.67,23.33,29,56,26,111,22
1664,421,348,53.33,46.67,0.0,196,224,0,420,73
1664,400,307,54.72,42.34,2.93,169,218,11,398,93
1664,245,170,42.01,53.25,4.73,130,102,11,243,75
1664,398,276,42.75,51.45,5.8,204,170,23,397,122
1664,256,178,51.12,37.64,11.24,96,130,28,254,78
1664,209,145,57.25,42.75,0.0,89,119,0,208,64
1664,294,230,53.48,36.09,10.44,106,157,30,293,64
1664,280,194,42.27,57.73,0.0,161,118,0,279,86
1664,478,363,55.37,37.47,7.16,179,264,34,477,115
1664,278,193,25.91,58.55,15.54,162,72,43,277,85
1664,330,330,53.94,38.18,7.88,126,177,26,329,0
1665,341,237,37.97,51.48,10.55,175,129,35,339,104
1665,300,243,61.0,37.0,2.0,111,183,6,300,57
1665,268,186,29.46,38.39,32.14,102,78,86,266,82
1665,195,152,49.64,40.88,9.49,79,96,18,193,43
1665,275,215,57.67,36.28,6.05,99,158,16,273,60
1665,666,462,17.53,31.82,50.65,211,116,337,664,204
1665,251,174,32.26,41.13,26.61,103,80,66,249,77
1665,278,211,35.54,58.29,6.16,162,98,17,277,67
1665,474,329,54.71,33.74,11.55,159,259,54,472,145
1665,259,244,43.03,50.41,6.56,130,111,16,257,15
1666,576,400,44.75,52.0,3.25,299,257,18,574,176
1666,147,102,32.35,42.16,25.49,61,47,37,145,45
1666,215,149,57.05,38.93,4.03,83,122,8,213,66
1668,259,207,85.86,12.12,2.02,31,222,5,258,52
1668,280,219,89.0,5.0,6.0,14,249,16,279,61
1672,935,664,52.54,24.5,22.96,229,491,214,934,271
1673,275,220,70.91,24.54,4.54,67,194,12,273,55
1674,327,262,60.69,35.5,3.82,116,198,12,326,65
1674,342,322,65.22,28.88,5.9,98,223,20,341,20
1674,399,277,40.3,47.91,11.79,191,160,47,398,122
1674,291,202,48.96,41.15,9.9,119,142,28,289,89
1674,215,204,54.19,30.05,15.76,64,116,33,213,11
1674,377,280,62.14,26.07,11.79,98,234,44,376,97
1675,333,231,37.23,54.54,8.22,181,123,27,331,102
1675,462,351,71.51,26.21,2.28,121,330,10,461,111
1675,521,417,51.8,41.73,6.47,217,269,33,519,104
1675,407,318,58.97,39.42,1.6,160,240,6,406,89
1675,151,105,33.33,58.1,8.57,87,50,12,149,46
1675,563,458,72.32,25.0,2.68,140,407,15,562,105
1675,396,317,79.18,15.14,5.68,59,313,22,394,79
1675,91,73,73.97,26.03,0.0,23,67,0,90,18
1675,387,310,62.58,33.55,3.87,129,242,14,385,77
1675,408,319,58.97,39.42,1.6,160,240,6,406,89
1675,409,328,63.72,34.45,1.83,140,260,7,407,81
1675,104,72,38.89,36.11,25.0,37,40,26,103,32
1675,157,109,45.71,40.95,13.33,64,71,20,155,48
1675,301,209,46.86,46.38,6.76,139,141,20,300,92
1676,343,242,38.02,52.89,9.09,181,130,31,342,101
1676,256,220,41.36,50.45,8.18,129,105,20,254,36
1676,315,224,38.14,49.77,12.09,156,120,38,314,91
1676,600,574,72.82,21.43,5.75,128,436,34,598,26
1676,391,313,67.09,30.99,1.92,121,262,7,390,78
1676,400,324,65.12,33.33,1.54,133,260,6,399,76
1676,250,198,36.36,52.02,11.62,130,90,29,249,52
1676,144,100,35.0,54.0,11.0,77,50,15,142,44
1676,235,163,38.65,57.06,4.29,134,90,10,234,72
1676,133,92,30.44,56.52,13.04,75,40,17,132,41
1676,251,174,39.66,56.9,3.45,142,99,8,249,77
1676,302,286,63.29,29.37,7.34,88,191,22,301,16
1676,430,372,52.96,37.37,9.68,160,227,41,428,58
1676,256,178,49.44,44.94,5.62,115,126,14,255,78
1676,232,161,46.75,48.7,4.54,112,108,10,230,71
1677,194,155,58.71,38.71,2.58,75,113,5,193,39
1677,437,375,52.8,24.27,22.93,106,230,100,436,62
1677,340,240,66.67,22.5,10.83,76,226,36,338,100
1677,512,400,71.25,26.75,2.0,136,364,10,510,112
1677,611,477,56.96,36.92,6.12,225,348,37,610,134
1677,222,154,34.68,46.77,18.55,103,76,41,220,68
1677,219,152,32.9,63.82,3.29,139,72,7,218,67
1677,173,120,51.67,39.17,9.17,67,89,15,171,53
1677,475,371,65.23,29.38,5.39,139,309,25,473,104
1677,410,167,44.91,44.91,10.18,184,184,41,409,243
1678,766,582,63.23,30.58,6.19,234,484,47,765,184
1678,376,286,55.59,32.87,11.54,123,209,43,375,90
1678,199,138,42.06,55.14,2.8,109,83,5,197,61
1678,350,280,52.86,33.21,13.93,116,184,48,348,70
1678,219,152,34.87,60.53,4.61,132,76,10,218,67
1678,283,245,61.29,38.71,0.0,109,173,0,282,38
1678,348,268,52.65,39.02,8.33,135,183,28,346,80
1678,465,372,44.44,40.33,15.23,187,206,70,463,93
1678,417,329,48.76,42.28,8.95,176,203,37,416,88
1678,447,385,48.83,38.44,12.73,171,218,56,445,62
1678,497,388,35.05,51.8,13.14,257,174,65,496,109
1678,238,186,54.11,31.51,14.38,74,128,34,236,52
